day;start_day;start_time;end_day;end_time;artist;link;location
2015-12-28;2015-12-28;14:00:00;2015-12-28;17:00:00;Michele & Iwelyne.; ;32c3-anti-error-lounge-loc
2015-12-28;2015-12-28;17:00:00;2015-12-28;18:30:00;DJ Mike Lait;;32c3-anti-error-lounge-loc
2015-12-28;2015-12-28;18:30:00;2015-12-28;20:00:00;on:stop.off plays Dr. Caligari;Trailer: https://vimeo.com/136020497;32c3-anti-error-lounge-loc
2015-12-28;2015-12-28;20:00:00;2015-12-28;23:00:00;Das KFMW;http://www.kraftfuttermischwerk.de/blogg/;32c3-anti-error-lounge-loc
2015-12-28;2015-12-28;23:00:00;2015-12-29;02:00:00;Lichtnest;https://www.facebook.com/lichtnest/?fref=ts;32c3-anti-error-lounge-loc
2015-12-28;2015-12-29;02:00:00;2015-12-29;03:00:00;jodo;;32c3-anti-error-lounge-loc
2015-12-29;2015-12-29;16:00:00;2015-12-29;19:00:00;The Binh;http://www.mixcrate.com/thebinh/zgorzelec-overnight-10058209;32c3-anti-error-lounge-loc
2015-12-29;2015-12-29;19:00:00;2015-12-29;22:00:00;Zuurb;https://soundcloud.com/zuurb;32c3-anti-error-lounge-loc
2015-12-29;2015-12-29;22:00:00;2015-12-29;23:00:00;Sieren;https://soundcloud.com/sieren;32c3-anti-error-lounge-loc
2015-12-29;2015-12-29;23:00:00;2015-12-30;02:00:00;Tasmo;https://hearthis.at/tasmo/;32c3-anti-error-lounge-loc
2015-12-30;2015-12-30;14:00:00;2015-12-30;15:00:00;zeerone ;;32c3-anti-error-lounge-loc
2015-12-30;2015-12-30;15:00:00;2015-12-30;17:00:00;BarbNerdy;https://soundcloud.com/barbnerdy;32c3-anti-error-lounge-loc
2015-12-30;2015-12-30;17:00:00;2015-12-30;20:00:00;Michael Rosen;https://www.mixcloud.com/digitalinberlin/;32c3-anti-error-lounge-loc
2015-12-30;2015-12-30;20:00:00;2015-12-30;21:00:00;Señor Sib;https://soundcloud.com/sibster;32c3-anti-error-lounge-loc
2015-12-30;2015-12-30;22:00:00;2015-12-31;02:00:00;All Stars for ever;;32c3-anti-error-lounge-loc
;;;;;;;
;;;;;;;
;;;;;;;
