day;start_day;start_time;end_day;end_time;artist;link;location
2015-12-27;2015-12-27;15:00:00;2015-12-27;17:00:00;Anabolika Boyknott;;32c3-party-lounge
2015-12-27;2015-12-27;17:00:00;2015-12-27;19:00:00;At the Space Office;;32c3-party-lounge
2015-12-27;2015-12-27;19:00:00;2015-12-27;20:00:00;Janina Neinina;;32c3-party-lounge
2015-12-27;2015-12-27;20:00:00;2015-12-27;21:00:00;Technicolorism;;32c3-party-lounge
2015-12-27;2015-12-27;21:00:00;2015-12-27;23:00:00;Terje;;32c3-party-lounge
2015-12-27;2015-12-27;23:00:00;2015-12-28;01:00:00;Ander;;32c3-party-lounge
2015-12-27;2015-12-28;01:00:00;2015-12-28;03:00:00;Dominik Eulberg;;32c3-party-lounge
2015-12-27;2015-12-28;03:00:00;2015-12-28;05:00:00;Rss-Disco;;32c3-party-lounge
2015-12-27;2015-12-28;05:00:00;2015-12-28;08:00:00;Sutsche;;32c3-party-lounge
2015-12-28;2015-12-28;12:00:00;2015-12-28;14:00:00;DJ Spock;;32c3-party-lounge
2015-12-28;2015-12-28;14:00:00;2015-12-28;15:00:00;Specialguest;;32c3-party-lounge
2015-12-28;2015-12-28;15:00:00;2015-12-28;17:00:00;Eulberg/Extraweit;;32c3-party-lounge
2015-12-28;2015-12-28;17:00:00;2015-12-28;18:00:00;Sonic Robots;;32c3-party-lounge
2015-12-28;2015-12-28;18:00:00;2015-12-28;20:00:00;Etkin;;32c3-party-lounge
2015-12-28;2015-12-28;20:00:00;2015-12-28;21:00:00;The Incredible Herrengedeck;;32c3-party-lounge
2015-12-28;2015-12-28;21:00:00;2015-12-28;23:00:00;Martha van Straaten;;32c3-party-lounge
2015-12-28;2015-12-28;23:00:00;2015-12-29;00:00:00;Circuit Diagram (Live);;32c3-party-lounge
2015-12-28;2015-12-29;00:00:00;2015-12-29;02:00:00;Robert Etzold;;32c3-party-lounge
2015-12-28;2015-12-29;02:00:00;2015-12-29;04:00:00;Des Wahnsinns fette Hälfte;;32c3-party-lounge
2015-12-28;2015-12-29;04:00:00;2015-12-29;06:00:00;Tobias Lampe;;32c3-party-lounge
2015-12-28;2015-12-29;06:00:00;2015-12-29;08:00:00;Bo Irion;;32c3-party-lounge
2015-12-29;2015-12-29;12:00:00;2015-12-29;14:00:00;Lenins Leber;;32c3-party-lounge
2015-12-29;2015-12-29;14:00:00;2015-12-29;16:00:00;MG3;;32c3-party-lounge
2015-12-29;2015-12-29;16:00:00;2015-12-29;18:00:00;Dave Dinger;;32c3-party-lounge
2015-12-29;2015-12-29;18:00:00;2015-12-29;19:00:00;Miranda;;32c3-party-lounge
2015-12-29;2015-12-29;19:00:00;2015-12-29;21:00:00;H.heh;;32c3-party-lounge
2015-12-29;2015-12-29;21:00:00;2015-12-29;22:00:00;Miss Hawaii;;32c3-party-lounge
2015-12-29;2015-12-29;22:00:00;2015-12-30;00:00:00;Romanski;;32c3-party-lounge
2015-12-29;2015-12-30;00:00:00;2015-12-30;02:00:00;Marco Constanza;;32c3-party-lounge
2015-12-29;2015-12-30;02:00:00;2015-12-30;04:00:00;P.Gregor/Katovi;;32c3-party-lounge
2015-12-29;2015-12-30;04:00:00;2015-12-30;06:00:00;Flotze;;32c3-party-lounge
2015-12-29;2015-12-30;06:00:00;2015-12-30;08:00:00;Severin;;32c3-party-lounge
2015-12-30;2015-12-30;12:00:00;2015-12-30;14:00:00;Days of Delay;;32c3-party-lounge
2015-12-30;2015-12-30;14:00:00;2015-12-30;15:00:00;Nika Son;;32c3-party-lounge
2015-12-30;2015-12-30;15:00:00;2015-12-30;16:00:00;Eternal Drumm;;32c3-party-lounge
2015-12-30;2015-12-30;16:00:00;2015-12-30;18:00:00;Lord Byron Styropor;;32c3-party-lounge
2015-12-30;2015-12-30;18:00:00;2015-12-30;20:00:00;DJ Plazebo vs. Lion;;32c3-party-lounge
2015-12-30;2015-12-30;20:00:00;2015-12-30;22:00:00;Nina (Pudel);;32c3-party-lounge
2015-12-30;2015-12-30;22:00:00;2015-12-31;00:00:00;Glattbek City Bombing;;32c3-party-lounge
2015-12-30;2015-12-31;00:00:00;2015-12-31;02:00:00;Digital Norman;;32c3-party-lounge
2015-12-30;2015-12-31;02:00:00;2015-12-31;04:00:00;HGich.T;;32c3-party-lounge
2015-12-30;2015-12-31;04:00:00;2015-12-31;06:00:00;Gregoa;;32c3-party-lounge
2015-12-30;2015-12-31;06:00:00;2015-12-31;09:00:00;Bidi;;32c3-party-lounge
