id	event	title	url	begin	end	duration	day	location	track	format	level	lang	speakers	last_modified
rp13-session-1123	rp13	Rückt mal ein Stück! Die Androidinnen kommen!	null	2013-05-07T16:15:00+02:00	2013-05-07T16:45:00+02:00	30	2013-05-07	Stage 7	research-education	talk	beginner	de	Gaby Becker, Martina Rüdiger, Renate Hermanns	2014-02-24T19:04:35+01:00
rp13-session-1137	rp13	Das digitale Quartett - live on stage	null	2013-05-07T20:00:00+02:00	2013-05-07T21:00:00+02:00	60	2013-05-07	Stage 2	republica	discussion	intermediate	de	Ulrike Langer, Thomas Knüwer, Daniel Fiene	2014-02-24T19:04:35+01:00
rp13-session-1152	rp13	Überraschungsvortrag II	null	2013-05-06T19:45:00+02:00	2013-05-06T20:45:00+02:00	60	2013-05-06	Stage 1	republica	talk	beginner	de	Sascha Lobo	2014-02-24T19:04:35+01:00
rp13-session-1206	rp13	The Revolution of Jokes	null	2013-05-06T15:15:00+02:00	2013-05-06T15:45:00+02:00	30	2013-05-06	Stage 4	politics-society	talk	intermediate	en	Heba Amin	2014-02-24T19:04:35+01:00
rp13-session-1208	rp13	Bis dass der Tod uns scheidet - Soziale Medien und der Umgang mit dem Sterben	null	2013-05-06T17:45:00+02:00	2013-05-06T18:15:00+02:00	30	2013-05-06	Stage 5	politics-society	talk	beginner	de	Elisabeth Rank	2014-02-24T19:04:35+01:00
rp13-session-1234	rp13	I palindrome I – your life is mine	null	2013-05-08T15:30:00+02:00	2013-05-08T16:00:00+02:00	30	2013-05-08	Stage 3	culture	talk	advanced	en	Marcus Brown	2014-02-24T19:04:35+01:00
rp13-session-1258	rp13	#RotationCuration - eine Kulturbewegung erobert Twitter weltweit	null	2013-05-08T14:15:00+02:00	2013-05-08T14:45:00+02:00	30	2013-05-08	Workshop B	media	talk	beginner	de	Romy Mlinzk, Carolin Hinz, Alexander M. Turek	2014-02-24T19:04:35+01:00
rp13-session-1278	rp13	Marvin und der Blues	null	2013-05-07T15:00:00+02:00	2013-05-07T16:00:00+02:00	60	2013-05-07	Stage 4	culture	talk	beginner	de	Moritz Simon Geist	2014-02-24T19:04:35+01:00
rp13-session-1318	rp13	"The first thing we do, let's kill all the lawyers” – Die Anwälte, das Internet & die Abmahnungen	null	2013-05-08T12:30:00+02:00	2013-05-08T13:00:00+02:00	30	2013-05-08	Stage 3	politics-society	talk	beginner	de	Joerg Heidrich	2014-02-24T19:04:35+01:00
rp13-session-1348	rp13	"Das meld ich dem Rundfunkrat!" - Neues aus der öffentlich-rechtlichen Kommentarambulanz	null	2013-05-08T15:30:00+02:00	2013-05-08T16:00:00+02:00	30	2013-05-08	Stage 5	media	talk	beginner	de	Deef Pirmasens, Simone Stoffers	2014-02-24T19:04:35+01:00
rp13-session-1363	rp13	Soziale Netze im ärztlichen Behandlungsraum	null	2013-05-08T10:30:00+02:00	2013-05-08T11:00:00+02:00	30	2013-05-08	Workshop C	research-education	talk	intermediate	de	Thomas Schmidt	2014-02-24T19:04:35+01:00
