id	event	type	name	nickname	photo	organization	position	biography	sessions
rp13-speaker-1685	rp13	speaker	Ulf Buermeyer	ulf-buermeyer	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-1685.png	Digitale Gesellschaft e.V.	judge, geek, iOS dev - creator of @RepublicaApp	Ulf studied law in Leipzig, Berlin & Paris and became judge in 2007. Since then he's been working at various courts, including the German Federal Constitutional Court in Karlsruhe where he clerked for judges Prof. Hassemer & Prof. Voßkuhle. While seconded to the Berlin Department of Justice he drafted the Code on Data Protection & Freedom of Information for Berlin's prisons. Ulf is currently judge at Berlin superior court (Landgericht) & responsible for cases involving charges with murder & manslaughter. *** Other than in criminal law & privacy Ulf is deeply interested in Computer Science & has been programming since he got a C64 at his 10th birthday. At present he codes mostly in Objective-C for iOS/Mac and builds backends in PHP. As a spare time project he develops @RepublicaApp for iOS with KicksApps GmbH, a Kassel app development startup a friend of his launched in 2011. *** Ulf is member of Digitale Gesellschaft e.V. (Digiges). With Digiges he developed a draft code that aims to limit the liability of wifi network providers in Germany ("Störerhaftung") in order to encourage citizens & businesses to open up their wifis to the public.	
rp13-speaker-802	rp13	speaker	Marc Altenburg	marc-altenburg	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-802.jpg	urban.process, Berlin / BTU Cottbus	Researcher, Lecturer, Freelancer	Dipl.-Ing. Marc Altenburg forscht und arbeitet an zukünftigen Raumstrukturen und Stadtmanagementprozessen. Neben der Entwicklung von Raummodellen („Digitale Stadt“ und „Smart City“ ) und räumlichen Bewertungssystemen, beschäftigt er sich mit der Untersuchung von stadtökonomischen Prozessen. Als Stadtforscher und -planer betreibt er das Büro urban.process. Er war am Institut für Regionalentwicklung und Strukturplanung (IRS), Erkner, tätig und lehrt und forscht derzeit am Lehrstuhl Stadtmanagement der BTU Cottbus. Er initiierte u.a. das Projekt „kreativ.quartier.berlin“ und war am IRS daran beteiligt das räumliche Bewertungssystem ESYS zu entwickeln. Derzeit betreut er an der BTU Cottbus ein Interreg-Projekt zur Förderung der Kreativwirtschaft in kleinen Großstädten.	[object Object]
rp13-speaker-2369	rp13	speaker	newthinking  	newthinking					
rp13-speaker-2101	rp13	speaker	Anne Wizorek	anne-wizorek	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-2101.jpg		Digital Media Consultant	Anne Wizorek lebt im Internet und in Berlin. Dort arbeitet sie als selbstständige Beraterin für digitale Medien und Online-Kommunikation. 2011 organisierte sie die Konferenz re:publica sowie den ersten Berliner SlutWalk mit. Sie bloggt seit 2006, schrieb u.a. schon für spreeblick.com und engagiert sich sowohl on- als auch offline für Geschlechtergerechtigkeit. Im Januar 2013 gründete sie das Gemeinschaftsblog kleinerdrei.org, auf dem sie mit anderen Autorinnen und Autoren Herzensthemen von Politik bis Popkultur aufgreift. Sie ist Namensgeberin des Hashtags #aufschrei, unter dem vor allem in Deutschland eine Debatte zum Thema Alltagssexismus angestoßen wurde.	[object Object]
rp13-speaker-46	rp13	speaker	Markus Beckedahl	markus-beckedahl	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-46.jpg	netzpolitik.org		Markus Beckedahl ist Mit-Gründer und Veranstalter der re:publica. Er bloggt seit 2002 auf netzpolitik.org über Politik in der digitalen Gesellschaft. Er ist Mitgründer der newthinking communications GmbH, einer Agentur für Open Source Strategien und digitale Kultur, mit Sitz in Berlin.\nEr sitzt als Sachverständiger in der Enquete-Kommission des Deutschen Bundestages zu “Internet und digitale Gesellschaft” und ist Mitglied des Medienrates der Medienanstalt Berlin-Brandenburg sowie persönliches Mitglied der deutschen UNESCO-Kommission. Ehrenamtlich ist er Sprecher von Creative Commons Deutschland.	
rp13-speaker-1820	rp13	speaker	Katharina Borchert	katharina-borchert	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-1820.jpg	Spiegel Online			[object Object]
rp13-speaker-65	rp13	speaker	Andreas Gebhard	andreas-gebhard	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-65.jpg	republica GmbH	CEO	Andreas Gebhard ist Mitgründer der re:publica und seit 2012 Geschäftsführer der republica GmbH. Besonders am Herzen liegt ihm die weitere Internationalisierung der Veranstaltung. Zudem ist er Gründer und Geschäftsführer von newthinking und setzt sich in diesem und in anderen Rahmen seit mehr als zehn Jahren für die Verbreitung von Open Source-Prozessen und -Strategien in Gesellschaft und Wirtschaft ein. In seiner Freizeit ist er begeistertes Vorstandsmitglied von Tennis Borussia Berlin	
rp13-speaker-198	rp13	speaker	Moritz Simon Geist	moritz-simon-geist	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-198.jpg			Moritz Simon Geist, born in 1981. His projects range from tonal hacking to robotics and automated robotic instrument, adding a new perspective to the “man-machine-interface”. But his installations go beyond the basic physical and technical demand: the main theme is rather the transition from a deterministic (usually binary) system into the physical and mechanical world. This transformation entains an greater stress on the “error” of the physical world and lets the object be both more tangible and vulnerable. Moritz Simon Geist lives and works in Dresden, Germany.	
rp13-speaker-1538	rp13	speaker	Stefan Plöchinger	stefan-ploechinger	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-1538.jpg	Süddeutsche Zeitung	Chefredakteur Süddeutsche.de, Geschäftsführender Redakteur (Online) der Süddeutschen Zeitung	War Lokalreporter, Politikschreiber, Textchef und zweimal Chef vom Dienst, bei immer wieder wunderbaren Medien: SZ, AZ, FTD (†) und Spiegel Online.	[object Object]
rp13-speaker-598	rp13	speaker	Matthias Bauer	matthias-bauer	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-598.jpg	Matthias Bauer	Problem Solver	Matthias Bauer founded his first company at the age of 16, explaining the internet and the web to small and medium sized companies. He since worked in diverse fields from computational linguistics and datamining over IT security to e-commerce, consulting some of the biggest companies in the sector, and always getting back into software engineering and product management, building e-commerce software, social networks, and publishing platforms.	[object Object]
