id	event	title	url	begin	end	duration	day	location	track	format	level	lang	speakers	last_modified
rp14-session-1077	rp14	OER textbooks in Polish schools: a year later	http://re-publica.de/node/1077	false	false	30	undefined	undefined	research-education	talk	beginner	en		undefined
rp14-session-1171	rp14	Gamefication of protest in authoritarian context: looking for new identities and new forms of participation (Russian cases)	http://re-publica.de/node/1171	false	false	30	undefined	undefined	politics-society	discussion	beginner	en		undefined
rp14-session-1290	rp14	Future scenarios of culture's circuits	http://re-publica.de/node/1290	false	false	30	undefined	undefined	politics-society	discussion	beginner	en	, 	undefined
rp14-session-1575	rp14	makeKGL: Making an innovative city	http://re-publica.de/node/1575	false	false	15	undefined	undefined	undefined	talk	beginner	en		undefined
rp14-session-1727	rp14	Shadow libraries - pirate archivists	http://re-publica.de/node/1727	false	false	30	undefined	undefined	science-technology	talk	intermediate	en		undefined
rp14-session-1762	rp14	My Heart-Shape Will Go On: It's Time for Emoji Karaoke!	http://re-publica.de/node/1762	false	false	30	undefined	undefined	culture	action	beginner	en		undefined
rp14-session-187	rp14	Dragonfathers. How role playing games shaped virtual reality.	http://re-publica.de/node/187	false	false	30	undefined	undefined	culture	talk	beginner	en	, 	undefined
rp14-session-198	rp14	Rede zur Lage der Nation	http://re-publica.de/node/198	false	false	60	undefined	undefined	politics-society	talk	beginner	de		undefined
rp14-session-201	rp14	 Möglichkeiten der Online-Kommunikation im therapeutischen und beratenden Kontext bei Autismus-Spektrum-Störungen	http://re-publica.de/node/201	false	false	30	undefined	undefined	media	talk	beginner	de		undefined
rp14-session-2109	rp14	Vom Gemeinschaftsblog zum Gemeinschaftsfilm	http://re-publica.de/node/2109	false	false	30	undefined	undefined	media	talk	beginner	de		undefined
rp14-session-219	rp14	Wildes Fußballmemory (unnützes Wissen für die WM 2014)	http://re-publica.de/node/219	false	false	30	undefined	undefined	culture	action	beginner	de	, 	undefined
rp14-session-223	rp14	Sind bloggende Väter eine Nischenerscheinung?	http://re-publica.de/node/223	false	false	30	undefined	undefined	politics-society	discussion	beginner	de	, , , 	undefined
rp14-session-233	rp14	Wild Wild Web: Netzkultur ohne niedliche Katzen	http://re-publica.de/node/233	false	false	30	undefined	undefined	culture	talk	beginner	de	, 	undefined
rp14-session-2477	rp14	Lehrst Du noch oder lernst Du schon? - Moderne Schule ist (k)eine Frage der Technik	http://re-publica.de/node/2477	false	false	60	undefined	undefined	research-education	talk	beginner	de	, 	undefined
rp14-session-2482	rp14	Roboterjournalismus: Wenn Algorithmen Nachrichten machen	http://re-publica.de/node/2482	false	false	60	undefined	undefined	media	talk	intermediate	de		undefined
rp14-session-2494	rp14	Zahnbürste oder Longboard!	http://re-publica.de/node/2494	false	false	30	undefined	undefined	business-innovation	workshop	beginner	de		undefined
rp14-session-250	rp14	Raspberry for Fun and Business	http://re-publica.de/node/250	false	false	30	undefined	undefined	business-innovation	talk	beginner	de		undefined
rp14-session-2500	rp14	Supergeiler First Kiss - Viralität nur gegen Kohle?	http://re-publica.de/node/2500	false	false	60	undefined	undefined	media	discussion	intermediate	de		undefined
