id	event	name	photo	organization	position	sessions
rp14-speaker-1005	rp14	Thom Nagy	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/thomnagy_pensive.jpg	NZZ Lab	Projektleiter	
rp14-speaker-1006	rp14	Hendrik Menzl	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/h_menzl_re_publica.jpg	Audiolith		
rp14-speaker-1008	rp14	Paul von Ribbeck	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/001_web.jpg	Google Nest	Digital Secuity Evangelist	
rp14-speaker-1011	rp14	Sebastian Horn	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/sebastian_quer.jpg	Sourcefabric	Head of Business Development	
rp14-speaker-1013	rp14	Cornelia 	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/img_2950_k.jpg			
rp14-speaker-1022	rp14	Stephanie Wißmann	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/_mg_0793.jpg			
rp14-speaker-1023	rp14	Jan Northoff	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/jannorhoff_profile_2_square.jpg	Founder &amp; Scrum Master	cheffchen	
rp14-speaker-1025	rp14	Karen Melchior	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/profil_photo_-_c_amanda_thomsen.jpg	Radikale Venstre	European-Parliament candidate	
rp14-speaker-1028	rp14	Florian Krapp	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/profilbild_0.jpg	Oh Krapp	Freelancer, Autor, Student	
rp14-speaker-1029	rp14	Michael Zöller	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/mz.jpg	Magic Lantern Team		
rp14-speaker-1032	rp14	Rin Räuber	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/rin-1.jpg	Coder &amp; Mars Evangelist		
rp14-speaker-1038	rp14	Renata Avila	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/renata_avila.jpg	Web Foundation	Campaign Lead, Web We Want	
rp14-speaker-1042	rp14	Matt Jukes	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/screenshot_29_11_2013_21_54.png	Office for National Statistics 	Head of Digital Transformation	
rp14-speaker-1051	rp14	Konrad Buck	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/cw_konrad_buck_09.jpg	attention department	chief attention oficer	
rp14-speaker-1056	rp14	Harley Aussoleil	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/58870_10203197084587508_1327637911_n.jpg	Trade School Berlin	Co-Founder/Organizer	
rp14-speaker-1057	rp14	Sarah Corbett	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/profile_photo_sarah_corbett_c.png	Craftivist Collective	Founder & Director 	
rp14-speaker-1061	rp14	Basti R	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/image_7.jpg			
rp14-speaker-1062	rp14	Kübra Gümüşay	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/profile_0.jpg		Journalistin, Bloggerin & Aktivistin.	
rp14-speaker-1064	rp14	Astrid  Carolus	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/dr_ac_sw.jpg	University of Wuerzburg	Medienpsychologin	
rp14-speaker-1069	rp14	Laurie Penny	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/byjcheadshotsmall.jpg	New Statesman		
rp14-speaker-1073	rp14	Katelyn  Rogers 	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/katelyn_rogers_headshot_sm.jpg	Open Knowledge Foundation 	Community manager - Working Groups 	
rp14-speaker-1077	rp14	Nilz Bokelberg	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/foto_1_1.jpg	Weltfrieden	Chef	
rp14-speaker-1079	rp14	Tatiana  Bazzichelli	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/bazzichelli_3.jpg	The Wye, Berlin	Director of Programming Development	
rp14-speaker-1080	rp14	Parker Higgins	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/gph-profile.jpg	Electronic Frontier Foundation		
rp14-speaker-1081	rp14	Jillian York	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/jillian3.png	Electronic Frontier Foundation	Director for International Freedom of Expression	
rp14-speaker-1082	rp14	Anders Levermann	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/levermannspeaking.jpg	Potsdam Institute 	Physics professor of the Dynamics of the Climate System	
rp14-speaker-1083	rp14	Robert Bierkandt	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/foto_2.jpg	PIK	PhD student	
rp14-speaker-1084	rp14	Leonie Wenz	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/foto_leonie.jpg	PIK	PhD student	
rp14-speaker-1085	rp14	Sven Willner	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/foto_3.jpg	PIK	PhD student	
rp14-speaker-1087	rp14	James Marchant	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/logo.png	Small Media	Research Manager	
rp14-speaker-1089	rp14	Michael Running Wolf Jr	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/image_8.jpg	Buffalo Tongue	Founder	
rp14-speaker-1090	rp14	Jacob Appelbaum	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/jake.jpg	The Tor Project		
rp14-speaker-1091	rp14	Caroline Running Wolf	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/coyote-hat2.jpg	Expat Indians	Producer	
rp14-speaker-1096	rp14	Michał Woźniak	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/michalwozniak-800x1066.jpg	FOSS Fundation	President of the Board	
rp14-speaker-1104	rp14	Ksenia Ermoshina	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/p0hrs8tebxq_0.jpg	Center for Sociology of Innovation	PhD candidate	
rp14-speaker-1109	rp14	Kate Miltner	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/miltner_face.png	Microsoft Research New England	Research Consultant	
rp14-speaker-1110	rp14	Maria Świetlik	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/drg.jpg	Modern Poland Foundation		
rp14-speaker-1120	rp14	Marcin Koziej	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/where_is_my_mask.jpg	Net Reasearch Net	Founder	
rp14-speaker-1137	rp14	Muhammad  Radwan	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/mohamed-radwan.jpg	icecairo	Co-founder	
rp14-speaker-1138	rp14	Jon Stever	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/profile.png	The Office	Managing Director	
